Music_Name,Artist_Name,Genre,Overlapping emotions,Lyrics ,Pitch / Tempo ,Description ,music link ,Tags,Duration,Language,Instrument_Type,Popularity / Trend Score,Metric_Source,License_Typ
,,,,,,,,,,,,,,
Best of Gibran Alcocer (Beautiful Piano Mix),Gibran Alcocer,Instrumental / Piano / Emotional,Relaxation / Study / Background,nan ,Slow / Soft / Smooth,"Best of Gibran Alcocer (Beautiful Piano Mix)” is a mesmerizing collection of minimalist and ambient piano pieces that blend tranquility, nostalgia, and emotional depth. Each composition — from Idea 10 to Solas — captures a quiet beauty that soothes the mind and stirs the heart. Perfect for studying, working, or reflecting, Gibran’s neoclassical style invites peace and introspection, evoking memories of places you’ve never been yet deeply miss. Loved by millions worldwide, his music feels like a gentle sunrise for the soul.

Keywords: calming piano music, minimalist piano, ambient study music, neoclassical piano, emotional instrumental, relaxing background music.
Legal Status: © Kurate Music. For licensing or inquiries, contact contact@kuratemusic.com",https://youtu.be/xSS0cS1Jg-w?si=ayEMTW0wemq8nwi0,#calmingpiano #minimalistpiano #ambientstudy #neoclassical #emotionalinstrumental #relaxingmusic,13:43,,Piano Mix,3,Youtube Likes ,contact@kuratemusic.com
Everdream,Epic Soul Factory,Cinematic / Orchestral / Emotional,"Study, Relaxation, Background",nan ,Moderate,"“Everdream” by Epic Soul Factory, composed by Cesc Vilà, is one of the most powerful and emotionally charged cinematic instrumentals of our time. Blending orchestral grandeur with a soaring electric guitar, it captures the essence of hope, triumph, and remembrance. The music begins softly, then rises into a breathtaking crescendo that feels like victory after struggle — a moment of light breaking through darkness. Perfect for reflection, creative focus, or emotional renewal, Everdream reminds listeners why we endure and what makes life beautiful.

Keywords: cinematic instrumental, epic orchestral music, inspirational soundtrack, emotional instrumental, powerful epic music, music for hope, motivational background music.

Legal Status: © Epic Soul Factory & Really Slow Motion. For licensing or inquiries, contact contact@reallyslowmotion.com
.",https://youtu.be/RCMXO9sBIcU?si=DpmylOlz5-mBmXc0,#cinematic #epicorchestral #inspirationalsoundtrack #emotionalinstrumental #motivationalmusic,8:29,, charged cinematic instrumentals ,4,Youtube Likes ,contact@reallyslowmotion.com
Nuvole Bianche (Live from The Steve Jobs Theatre / 2019),Ludovico Einaudi,Classical / Neoclassical / Minimalist,"Study, Relaxation, Meditation",nan ,Slow / Reflective,"“Nuvole Bianche” by Ludovico Einaudi — meaning “White Clouds” — is one of the most emotionally profound piano compositions ever written. With its gentle, flowing melody and minimalist grace, it speaks of love, loss, and the quiet passage of time. Einaudi’s 2019 live performance at the Steve Jobs Theatre captures raw human vulnerability — the way pain transforms into peace, and memories become light. Each note feels like a conversation with the soul, reminding us that even endings can be beautiful. Perfect for reflection, grief, or moments of calm remembrance.

Keywords: emotional piano music, Ludovico Einaudi, neoclassical piano, peaceful instrumental, nostalgic piano, sad beautiful music, music for healing and reflection.

Legal Status: © 2019 Ludovico Einaudi, under exclusive licence to Universal Music Operations Limited. All rights reserved.",https://youtu.be/VUCI-1vIbUo?si=3cf-juQoP5y8MnK5,#emotionalpiano #neoclassical #peacefulinstrumental #nostalgicpiano #healingmusic,6:25,,Piano music ,4,Youtube Likes ,it's not copy free
Solas,Jamie Duffy,Classical / Neoclassical / Piano,"Study, Relaxation, Meditation",nan ,High ptich ,"“Solas” by Jamie Duffy — meaning “Light” in Irish — is a breathtaking modern piano composition that captures the fragile balance between hope and melancholy. With its rising, wave-like melody and cinematic depth, it feels like awakening from darkness into clarity. The music speaks of resilience — of holding onto light through loneliness, pain, and rebirth. Often used in motivational reels, emotional vlogs, and reflective moments, Solas is both peaceful and empowering — a reminder that even in silence, light survives.

Keywords: emotional piano music, Jamie Duffy, Solas, inspirational piano, Irish composer, cinematic piano, study and relaxation music, motivational instrumental, ambient neoclassical, peaceful piano.

Legal Status: © Jamie Duffy / Rubyworks Records, under exclusive licence. All rights reserved.",Jamie Duffy - Solas (Official Video),#emotionalpiano #solas #inspirationalpiano #cinematicpiano #peacefulpiano,3:16,,Paino music  high ptich ,4,Youtube Likes ,": © Jamie Duffy / Rubyworks Records, under exclusive licence. All rights reserved."
Interstellar,Hans Zimmer,Cinematic / Orchestral / Minimalist,"Film Score, Inspirational",nan ,Slow / Reflective,"Hans Zimmer’s Interstellar, performed live by the Imperial Orchestra, is an emotionally charged masterpiece that transcends time and space — perfect for video editors seeking the ultimate cinematic background. With its haunting organ, swelling strings, and slow, relentless build, this piece captures the feeling of loss, distance, and the painful beauty of perseverance — like reaching for something just out of grasp but refusing to let go. Ideal for emotional storytelling, dramatic reels, slow-motion edits, or scenes that explore sacrifice, hope, and the passage of time, this music turns any visual into a soul-stirring experience. It’s not just a soundtrack — it’s the sound of humanity against infinity.

Keywords: cinematic orchestral music, emotional background, Hans Zimmer Interstellar, epic soundtrack, sad cinematic scene, film score for video editing, motivational orchestral music.",https://youtu.be/Yo98PdmGzvo?si=nDp-5JXc2qeV0HEm,#cinematicorchestral #interstellarsoundtrack #epicsoundtrack #emotionalstorytelling #motivationalmusic,6:43,,Imperial Orchestra/ Voilin ,4,Youtube Likes ,not copyright free 
Nuvole Bianche,Ludovico Einaudi,Classical / Piano / Emotional,"Study, Relaxation, Meditation BG",nan,Slow / Soft,"Description:
Ludovico Einaudi’s Nuvole Bianche — performed beautifully by Rousseau — is one of the most emotionally resonant piano pieces ever composed, and a timeless favorite for video editors seeking pure, heartfelt background music. Translating to “White Clouds,” the song drifts like memory itself — calm yet full of quiet ache, blending peace, nostalgia, and reflection. Its flowing melody feels like a connection between souls, a reminder of love, loss, and the fleeting beauty of the present moment. Perfect for cinematic edits, emotional storytelling, slow-motion sequences, or scenes of deep realization, Nuvole Bianche turns silence into emotion and simplicity into meaning — a sound that speaks when words can’t.

Keywords: emotional piano, Ludovico Einaudi, Nuvole Bianche, cinematic background music, sad piano, nostalgic instrumental, video editing soundtrack, peaceful piano, reflective mood music, timeless classic.",https://youtu.be/4VR-6AS0-l4?si=MazjPr4T093Vlvp0,#emotionalpiano #cinematicbackground #nostalgicinstrumental #peacefulpiano #reflectivemusic,6:40,,Paino music  soothing,5,Youtube likes ,not copyright free 
Time (Inception - Live in Prague),Hans Zimmer,Cinematic / Orchestral / Minimalist,"Film Score, Inspirational",nan ,Slow / Building,"Hans Zimmer’s Time — from Christopher Nolan’s Inception — is one of the most emotionally powerful and cinematic pieces ever composed. Built around a simple, repeating piano motif that slowly expands into a massive orchestral swell, it captures the essence of reflection, loss, and rebirth. The gradual build symbolizes life itself — from fragile beginnings to a triumphant realization — making it perfect for emotional storytelling, inspirational edits, or cinematic moments of change and reflection. Whether used for motivational montages, farewell scenes, or life retrospectives, Time transforms any video into something timeless — a journey through memory, meaning, and the fleeting beauty of existence.

Keywords: Hans Zimmer, Time, Inception soundtrack, emotional cinematic music, epic orchestral background, inspirational video music, reflective piano score, motivational edit music, emotional storytelling, film background music.",https://youtu.be/c56t7upa8Bk?si=oBhGzuwJtEq6zk1N,#cinematicmusic #inceptionsoundtrack #emotionalorchestral #inspirationalmusic #reflectivepiano,4:35,,,4,Youtube likes ,not copyright free 
Soulmate,Andrea Vanzo,Modern Classical / Cinematic,"Meditation, Relaxation, Study",nan ,Slow / Reflective,"“Soulmate” by Andrea Vanzo is a heartfelt, piano-driven composition blending modern and acoustic elements, evoking emotions of love, nostalgia, and introspection. With its delicate yet expressive piano performance, the track perfectly suits romantic videos, cinematic storytelling, reflective montages, or any content aiming to convey deep connection and emotional resonance. Copyright: All rights reserved; use requires permission or license from Andrea Vanzo.",https://youtu.be/b7OyPg5JBnQ?si=p6Ph6F4HwOlQYIbs,#modernclassical #cinematicpiano #romanticmusic #nostalgicpiano #introspective,3:11,,paino music ,3,Youtube likes ,not copyright free 
Time (from Inception),Jacob’s Piano / Hans Zimmer,Cinematic / Piano / Emotional,"Study, Relaxation, Film Score",nan ,Slow / Gradual Build,"“Time” (from Inception) – Jacob’s Piano cover of Hans Zimmer is a deeply emotional and cinematic piano arrangement that captures the epic intensity and introspective beauty of the original. Perfect for reflective moments, film or video montages, inspirational content, study or meditation, and backgrounds requiring emotional depth. Its haunting yet uplifting melody evokes hope, nostalgia, and personal reflection.

℗ All rights reserved.",https://youtu.be/zwzMBSsqr_0?si=vCjfXcgqlzWPS8P-,#cinematicpiano #inceptioncover #emotionalmusic #hopefulmusic #reflectivepiano,5:09,,Jacob's Piano,3,Youtube likes ,not copyright free 
